,_unit_id,text,Compound,Sentiment,Airplane,Question Tag
28,681448213,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,0.5859,positive,@virginamerica,
29,681448214,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,-0.0516,neutral,@virginamerica,
30,681448218,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems _�",0.1974,neutral,@virginamerica,
31,681448221,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,0.0,neutral,@virginamerica,
32,681448223,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",0.5093,positive,@virginamerica,
33,681448225,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",-0.4404,neutral,@virginamerica,
34,681448228,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,0.6588,positive,@virginamerica,
35,681448230,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,0.4215,neutral,nice,
36,681448235,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. _�ω� #MoodlitMonday,0.8684,positive,@virginamerica,
37,681448239,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",0.6988,positive,@virginamerica,
38,681448241,@VirginAmerica when can I book my flight to Hawaii??,0.0,neutral,@virginamerica,
39,681448243,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,0.4019,neutral,@virginamerica,
40,681448245,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",0.0,neutral,@virginamerica,
41,681448247,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",0.6114,positive,@virginamerica,
42,681448249,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  _ٍ�_�ԍ_�ռ�,0.826,positive,@virginamerica,
43,681448251,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,0.0,neutral,@virginamerica,
44,681448254,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,0.0,neutral,@virginamerica,
45,681448256,@VirginAmerica I'm #elevategold for a good reason: you rock!!,0.5399,positive,@virginamerica,
46,681448258,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,0.25,neutral,@virginamerica,
47,681448260,@VirginAmerica wow this just blew my mind,0.5859,positive,@virginamerica,
48,681448262,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,0.4199,neutral,@virginamerica,
49,681448264,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,0.4404,neutral,@virginamerica,
50,681448265,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",0.4404,neutral,@virginamerica,question
51,681448267,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,0.5562,positive,@virginamerica,
52,681448269,@VirginAmerica wish you flew out of Atlanta... Soon?,0.4019,neutral,@virginamerica,question
53,681448271,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,0.0,neutral,@virginamerica,
54,681448273,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,0.0,neutral,@virginamerica,
55,681448275,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,0.2201,neutral,@virginamerica,
56,681448278,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,0.0,neutral,@virginamerica,
57,681448280,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! _�_,0.7156,positive,@virginamerica,
58,681448282,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,0.0,neutral,@virginamerica,
59,681448284,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,0.0,neutral,@virginamerica,
60,681448288,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,-0.0772,neutral,@virginamerica,
61,681448290,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,0.0,neutral,@virginamerica,
62,681448292,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood _�_�",0.6249,positive,@virginamerica,
63,681448295,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",-0.1511,neutral,@virginamerica,
64,681448297,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,0.6696,positive,@virginamerica,
65,681448299,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,-0.2411,neutral,@virginamerica,
66,681448302,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,-0.0258,neutral,@virginamerica,
67,681448303,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",0.0,neutral,@virginamerica,
68,681448306,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,0.9382,positive,@virginamerica,
69,681448308,@VirginAmerica everything was fine until you lost my bag,-0.128,neutral,@virginamerica,
70,681448310,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,0.4515,neutral,@virginamerica,question
71,681448312,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,0.0772,neutral,@virginamerica,
72,681448314,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",0.0,neutral,@virginamerica,question
73,681448317,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,0.296,neutral,@virginamerica,
74,681448319,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",0.8591,positive,@virginamerica,
75,681448320,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,0.6249,positive,@virginamerica,
76,681448321,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",0.6696,positive,@virginamerica,
77,681448322,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,0.4404,neutral,@virginamerica,
78,681448324,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,0.4329,neutral,@virginamerica,question
79,681448326,@VirginAmerica what happened to Doom?!,0.0,neutral,@virginamerica,question
80,681448329,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,0.6124,positive,@virginamerica,
81,681448331,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,0.4019,neutral,@virginamerica,
82,681448334,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,0.2462,neutral,@virginamerica,
83,681448336,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,0.1779,neutral,@virginamerica,
84,681448338,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,-0.2023,neutral,@virginamerica,
85,681448340,@VirginAmerica I�۪m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,0.0,neutral,@virginamerica,
86,681448342,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,-0.4019,neutral,@virginamerica,
87,681448345,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,0.296,neutral,@virginamerica,question
88,681448347,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,0.0,neutral,@virginamerica,
89,681448349,@VirginAmerica Why is the site down?  When will it be back up?,0.0,neutral,@virginamerica,question
90,681448353,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",0.3595,neutral,@virginamerica,
91,681448355,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",0.0,neutral,@virginamerica,
92,681448358,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,0.0258,neutral,@virginamerica,
93,681448360,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",0.4939,neutral,@virginamerica,
94,681448362,@VirginAmerica why is flight 345 redirected?,0.0,neutral,@virginamerica,
95,681448364,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",0.6249,positive,@virginamerica,question
96,681448366,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,0.0,neutral,@virginamerica,
97,681448369,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,-0.0516,neutral,@virginamerica,question
98,681448371,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,0.0772,neutral,@virginamerica,
99,681448373,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,-0.4215,neutral,@virginamerica,question
100,681448376,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,0.0,neutral,@virginamerica,
101,681448377,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,-0.6249,negative,@virginamerica,question
102,681448379,@VirginAmerica check out new music http://t.co/maRcnOCWzn,0.0,neutral,@virginamerica,
103,681448382,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,0.0,neutral,@virginamerica,
104,681448383,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,-0.5423,negative,@virginamerica,
105,681448385,"@VirginAmerica - amazing customer  service, again! _�ե_�ե RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",0.8619,positive,@virginamerica,
106,681448387,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,0.6249,positive,@virginamerica,
107,681448389,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,-0.25,neutral,@virginamerica,
108,681448391,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,0.3612,neutral,@virginamerica,
109,681448393,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",0.3182,neutral,@virginamerica,
110,681448395,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",0.3182,neutral,@virginamerica,
111,681448397,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",0.3182,neutral,@virginamerica,
112,681448400,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",0.3182,neutral,@virginamerica,
113,681448402,@VirginAmerica Have a great week _�_�,0.6249,positive,@virginamerica,
114,681448404,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,-0.5423,negative,@virginamerica,
115,681448406,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",-0.2263,neutral,@virginamerica,
116,681448408,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",0.8176,positive,@virginamerica,
117,681448410,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,0.811,positive,@virginamerica,
118,681448413,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,0.8225,positive,@virginamerica,
119,681448415,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",0.7351,positive,@virginamerica,
120,681448419,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,0.0,neutral,@virginamerica,
121,681448421,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",-0.6597,negative,@virginamerica,question
122,681448423,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,0.0516,neutral,@virginamerica,
123,681448426,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,0.8016,positive,@virginamerica,
124,681448429,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,0.8832,positive,@virginamerica,
125,681448431,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",0.4404,neutral,@virginamerica,
126,681448432,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,0.508,positive,@virginamerica,
127,681448433,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,0.9133,positive,@virginamerica,
128,681448435,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,0.0,neutral,@virginamerica,
129,681448437,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,-0.25,neutral,@virginamerica,question
130,681448440,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,-0.5106,negative,@virginamerica,
131,681448442,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,-0.5696,negative,@virginamerica,
132,681448444,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,0.0772,neutral,@virginamerica,
133,681448446,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,-0.6588,negative,@virginamerica,
134,681448448,@VirginAmerica Another delayed flight? #likingyoulessandless,-0.2263,neutral,@virginamerica,
135,681448451,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,0.0772,neutral,@virginamerica,
136,681448453,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,0.0,neutral,@virginamerica,
137,681448455,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",0.0,neutral,"@virginamerica,",
138,681448457,@VirginAmerica always!!! Xoxo,0.7074,positive,@virginamerica,
139,681448459,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,0.1759,neutral,@virginamerica,question
140,681448461,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,0.4939,neutral,@virginamerica,
141,681448464,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,0.7482,positive,@virginamerica,
142,681448466,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service _�,0.6249,positive,@virginamerica,
143,681448468,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,0.3182,neutral,@virginamerica,
144,681448470,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,0.931,positive,@virginamerica,
145,681448471,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",-0.4215,neutral,@virginamerica,question
146,681448474,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,-0.3089,neutral,@virginamerica,
147,681448476,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,0.8002,positive,always,
148,681448478,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,0.0,neutral,@virginamerica,
149,681448480,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,-0.4404,neutral,.@virginamerica,
150,681448484,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,-0.4939,neutral,.@virginamerica,
151,681448487,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,0.264,neutral,@virginamerica,question
152,681448488,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),0.802,positive,@virginamerica,
153,681448489,@VirginAmerica is your website ever coming back online?,0.0,neutral,@virginamerica,
154,681448491,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",0.7096,positive,@virginamerica,question
155,681448496,@VirginAmerica Is flight 0769 out of LGA to DFW on time?,0.0,neutral,@virginamerica,
156,681448498,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,0.0,neutral,@virginamerica,
157,681448500,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,-0.6908,negative,@virginamerica,
158,681448502,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,-0.3164,neutral,@virginamerica,question
159,681448504,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",0.0,neutral,@virginamerica,
160,681448506,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",-0.4588,neutral,@virginamerica,
161,681448509,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",-0.4588,neutral,@virginamerica,
162,681448511,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,-0.4926,neutral,@virginamerica,question
163,681448513,@VirginAmerica is the website down?,0.0,neutral,@virginamerica,question
164,681448515,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2,0.0772,neutral,@virginamerica,
165,681448517,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,-0.4767,neutral,@virginamerica,
166,681448520,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,0.0,neutral,@virginamerica,
167,681448522,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh,0.0,neutral,@virginamerica,
168,681448524,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,0.0,neutral,@virginamerica,question
169,681448527,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,0.0,neutral,@virginamerica,
170,681448529,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",0.0,neutral,@virginamerica,
171,681448531,@VirginAmerica Lister to my show my on Monday 1230 130,0.0,neutral,@virginamerica,
172,681448533,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,0.0,neutral,@virginamerica,
173,681448535,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",-0.0258,neutral,@virginamerica,
174,681448538,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed,0.0,neutral,@virginamerica,
175,681448540,@VirginAmerica I'd love to know what your policy is for damaged luggage.,0.3182,neutral,@virginamerica,
176,681448542,@VirginAmerica Thank you for the follow,0.3612,neutral,@virginamerica,
177,681448543,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers,-0.5696,negative,@virginamerica,
178,681448545,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,-0.5255,negative,@virginamerica,
179,681448547,@VirginAmerica @TTINAC11 I DM you,0.0,neutral,@virginamerica,
180,681448551,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas _�_�_,0.3182,neutral,@virginamerica,
181,681448553,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,-0.5848,negative,@virginamerica,
182,681448555,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,-0.25,neutral,@virginamerica,question
183,681448558,_�_ RT @VirginAmerica: You�۪ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt,0.0,neutral,_�_,
184,681448560,@VirginAmerica Only way to fly! #Elevate #Gold,0.0,neutral,@virginamerica,
185,681448562,@VirginAmerica If only you guys had flights from CMH.,0.0,neutral,@virginamerica,
186,681448564,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever.",0.4756,neutral,@virginamerica,
187,681448566,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,-0.4767,neutral,@virginamerica,
188,681448568,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?,0.128,neutral,@virginamerica,question
189,681448570,@VirginAmerica you will match my #AmericanAirlines status? Cool!,0.3802,neutral,@virginamerica,question
190,681448572,�@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy�۝ @asarco_ES_ar ? _٪�,0.0,neutral,�@virginamerica:you've,
191,681448574,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business,-0.4019,neutral,@virginamerica,
192,681448576,@VirginAmerica you suck!,-0.4926,neutral,@virginamerica,
193,681448578,@VirginAmerica thanks!,0.4926,neutral,@virginamerica,
194,681448580,@VirginAmerica Just DM'd. Same issue persisting.,0.0,neutral,@virginamerica,
195,681448583,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,0.1877,neutral,@virginamerica,
196,681448585,@VirginAmerica trying to book a flight &amp; your site is down _�,0.0,neutral,@virginamerica,
197,681448587,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything,-0.25,neutral,@virginamerica,question
198,681448589,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,0.128,neutral,@virginamerica,
199,681448591,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue,0.6696,positive,@virginamerica,
200,681448594,@VirginAmerica Your website is down and I'm trying to check in!,0.0,neutral,@virginamerica,
201,681448597,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)",0.5707,positive,@virginamerica,
202,681448598,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!,-0.2462,neutral,@virginamerica,
203,681448600,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4,0.3802,neutral,@virginamerica,
204,681448602,@VirginAmerica Keep up the great work :),0.7964,positive,@virginamerica,
205,681448604,@VirginAmerica my goodness your people @love field are amazing under pressure �_�from Texas #beatstheothers in crisis Please fly me to NY,0.4215,neutral,@virginamerica,
206,681448607,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously,0.908,positive,@virginamerica,
207,681448609,@VirginAmerica can you please get me to the new york area before monday afternoon,0.3182,neutral,@virginamerica,
208,681448612,"@VirginAmerica Thanks so much for the awesome support, you guys rock!",0.8748,positive,@virginamerica,
209,681448614,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback,0.0,neutral,@virginamerica,
210,681448617,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.,0.296,neutral,@virginamerica,
211,681448619,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  �,-0.636,negative,@virginamerica,question
